\fixlen = T
|set|TIME       |PDCSAP_FLUX_ERR|
|int|double     |double         |
 0   120.7431213 1.1971960e+02   
 0   120.7438024 1.1982008e+02   
 0   120.7444836 1.1997919e+02   
 0   120.7451648 1.2020854e+02   
 0   120.7458459 1.2045564e+02   
 0   120.7465271 1.2075666e+02   
 0   120.7472083 1.2111250e+02   
 0   120.7478894 1.2151566e+02   
 0   120.7485706 1.2193175e+02   
 0   120.7492516 1.2239769e+02   
 0   120.7499327 1.2287849e+02   
 0   120.7506139 1.2339387e+02   
 0   120.7512951 1.2392687e+02   
 0   120.7519762 1.2449238e+02   
 0   120.7526574 1.2506580e+02   
 0   120.7533385 1.2565762e+02   
 0   120.7540197 1.2625627e+02   
 0   120.7547007 1.2686522e+02   
 0   120.7553819 1.2745657e+02   
 0   120.7560630 1.2804764e+02   
 0   120.7567442 1.2861844e+02   
 0   120.7574254 1.2918987e+02   
 0   120.7581065 1.2974117e+02   
 0   120.7587876 1.3025146e+02   
 0   120.7594688 1.3075983e+02   
 0   120.7601499 1.3120483e+02   
 0   120.7608310 1.3162553e+02   
 0   120.7615122 1.3201915e+02   
 0   120.7621933 1.3235359e+02   
 0   120.7628745 1.3261726e+02   
 0   120.7635556 1.3286014e+02   
 0   120.7642368 1.3300148e+02   
 0   120.7649179 1.3311174e+02   
 0   120.7655989 1.3314702e+02   
 0   120.7662802 1.3313548e+02   
 0   120.7669613 1.3304510e+02   
 0   120.7676424 1.3294287e+02   
 0   120.7683236 1.3278531e+02   
 0   120.7690048 1.3258098e+02   
 0   120.7696859 1.3235468e+02   
 0   120.7703671 1.3208295e+02   
 0   120.7710481 1.3179341e+02   
 0   120.7717292 1.3147466e+02   
 0   120.7724105 1.3113075e+02   
 0   120.7730916 1.3076379e+02   
 0   120.7737727 1.3039072e+02   
 0   120.7744539 1.3002681e+02   
 0   120.7751350 1.2961459e+02   
 0   120.7758162 1.2921364e+02   
 0   120.7764972 1.2882524e+02   
 0   120.7771784 1.2842506e+02   
 0   120.7778595 1.2802324e+02   
 0   120.7785408 1.2763420e+02   
 0   120.7792219 1.2725501e+02   
 0   120.7799030 1.2687780e+02   
 0   120.7805842 1.2651039e+02   
 0   120.7812653 1.2618397e+02   
 0   120.7819464 1.2584726e+02   
 0   120.7826276 1.2553329e+02   
 0   120.7833087 1.2526519e+02   
 0   120.7839898 1.2500866e+02   
 0   120.7846711 1.2476411e+02   
 0   120.7853522 1.2455795e+02   
 0   120.7860333 1.2438568e+02   
 0   120.7867145 1.2422937e+02   
 0   120.7873955 1.2409714e+02   
 0   120.7880767 1.2400293e+02   
 0   120.7887579 1.2391624e+02   
 0   120.7894390 1.2384758e+02   
 0   120.7901201 1.2380790e+02   
 0   120.7908013 1.2379121e+02   
 0   120.7914825 1.2378628e+02   
 0   120.7921636 1.2379975e+02   
 0   120.7928446 1.2383305e+02   
 0   120.7935258 1.2390038e+02   
 0   120.7942070 1.2396501e+02   
 0   120.7948881 1.2404007e+02   
 0   120.7955693 1.2414005e+02   
 0   120.7962504 1.2425887e+02   
 0   120.7969316 1.2437931e+02   
 0   120.7976128 1.2451463e+02   
 0   120.7982938 1.2465999e+02   
 0   120.7989749 1.2483328e+02   
 0   120.7996560 1.2497509e+02   
 0   120.8003373 1.2515211e+02   
 0   120.8010184 1.2533716e+02   
 0   120.8016995 1.2551434e+02   
 0   120.8023807 1.2570648e+02   
 0   120.8030618 1.2590171e+02   
 0   120.8037429 1.2609927e+02   
 0   120.8044241 1.2629726e+02   
 0   120.8051052 1.2649401e+02   
 0   120.8057863 1.2669604e+02   
 0   120.8064676 1.2691616e+02   
 0   120.8071487 1.2712305e+02   
 0   120.8078299 1.2733735e+02   
 0   120.8085110 1.2756157e+02   
 0   120.8091920 1.2777278e+02   
 0   120.8098732 1.2799094e+02   
 0   120.8105544 1.2822258e+02   
 0   120.8112355 1.2843800e+02   
 0   120.8119167 1.2867122e+02   
 0   120.8125979 1.2889801e+02   
 0   120.8132790 1.2911909e+02   
 0   120.8139602 1.2933459e+02   
 0   120.8146412 1.2953886e+02   
 0   120.8153223 1.2973265e+02   
 0   120.8160036 1.2993204e+02   
 0   120.8166847 1.3010190e+02   
 0   120.8173658 1.3025497e+02   
 0   120.8180469 1.3039264e+02   
 0   120.8187282 1.3051256e+02   
 0   120.8194093 1.3060219e+02   
 0   120.8200904 1.3065799e+02   
 0   120.8207715 1.3069295e+02   
 0   120.8214526 1.3070021e+02   
 0   120.8221338 1.3063988e+02   
 0   120.8228150 1.3054915e+02   
 0   120.8234961 1.3043431e+02   
 0   120.8241772 1.3026584e+02   
 0   120.8248584 1.3004953e+02   
 0   120.8255396 1.2978166e+02   
 0   120.8262206 1.2948209e+02   
 0   120.8269017 1.2911887e+02   
 0   120.8275829 1.2873970e+02   
 0   120.8282641 1.2831705e+02   
 0   120.8289452 1.2789617e+02   
 0   120.8296264 1.2744504e+02   
 0   120.8303075 1.2697665e+02   
 0   120.8309887 1.2651531e+02   
 0   120.8316698 1.2604067e+02   
 0   120.8323509 1.2557344e+02   
 0   120.8330320 1.2513695e+02   
 0   120.8337132 1.2468306e+02   
 0   120.8343944 1.2426781e+02   
