\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   918.1048000  3.9839891e+05 
 0   918.1252340  3.9838781e+05 
 0   918.1456680  3.9834084e+05 
 0   918.1661020  3.9834378e+05 
 0   918.1865359  3.9835425e+05 
 0   918.2069699  3.9834756e+05 
 0   918.2274038  3.9833909e+05 
 0   918.2478378  3.9832025e+05 
 0   918.2682717  3.9721491e+05 
 0   918.2887057  3.9325734e+05 
 0   918.3091397  3.9289188e+05 
 0   918.3295736  3.9645228e+05 
 0   918.3500075  3.9830375e+05 
 0   918.3704416  3.9835862e+05 
 0   918.3908754  3.9836347e+05 
 0   918.4113095  3.9836631e+05 
 0   918.4317434  3.9836447e+05 
 0   918.4521773  3.9839203e+05 
 0   918.4726114  3.9838041e+05 
 0   918.4930453  3.9838347e+05 
 0   918.5134792  3.9837331e+05 
 0   918.5339132  3.9833288e+05 
 0   918.5543472  3.9839966e+05 
 0   918.5747810  3.9840297e+05 
 0   918.5952151  3.9838797e+05 
 0   918.6156490  3.9834162e+05 
 0   918.6360831  3.9836912e+05 
 0   918.6565169  3.9835712e+05 
 0   918.6769509  3.9836231e+05 
 0   918.6973849  3.9835334e+05 
 0   918.7178188  3.9836359e+05 
 0   918.7382527  3.9839809e+05 
 0   918.7586867  3.9834716e+05 
 0   918.7791206  3.9836484e+05 
 0   918.7995546  3.9837147e+05 
 0   918.8199885  3.9836684e+05 
 0   918.8404225  3.9837094e+05 
 0   918.8608564  3.9837275e+05 
 0   918.8812905  3.9837588e+05 
 0   918.9017243  3.9837288e+05 
 0   918.9221583  3.9835072e+05 
 0   918.9425923  3.9835850e+05 
 0   918.9630261  3.9833434e+05 
 0   918.9834602  3.9837994e+05 
 0   919.0038941  3.9837547e+05 
 0   919.0243280  3.9839022e+05 
 0   919.0447620  3.9837603e+05 
 0   919.0651960  3.9838441e+05 
 0   919.0856298  3.9841069e+05 
 0   919.1060639  3.9839212e+05 
 0   919.1264978  3.9837697e+05 
 0   919.1469319  3.9841375e+05 
 0   919.1673657  3.9836159e+05 
 0   919.1877997  3.9835500e+05 
 0   919.2082337  3.9834666e+05 
 0   919.2286675  3.9835419e+05 
 0   919.2491015  3.9833153e+05 
 0   919.2695355  3.9836134e+05 
 0   919.2899695  3.9837425e+05 
 0   919.3104033  3.9838831e+05 
 0   919.3308374  3.9833391e+05 
 0   919.3512713  3.9838556e+05 
 0   919.3717052  3.9840975e+05 
 0   919.3921392  3.9837538e+05 
 0   919.4125730  3.9841422e+05 
 0   919.4330071  3.9836322e+05 
 0   919.4534410  3.9834253e+05 
 0   919.4738749  3.9836447e+05 
 0   919.4943089  3.9833994e+05 
 0   919.5147429  3.9838684e+05 
 0   919.5351767  3.9833238e+05 
 0   919.5556107  3.9833403e+05 
 0   919.5760447  3.9836866e+05 
 0   919.5964785  3.9833034e+05 
 0   919.6169126  3.9834941e+05 
 0   919.6373465  3.9839547e+05 
 0   919.6577806  3.9833678e+05 
