\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   970.3663689  3.9727628e+05 
 0   970.3670500  3.9731869e+05 
 0   970.3677311  3.9732231e+05 
 0   970.3684123  3.9738966e+05 
 0   970.3690934  3.9751331e+05 
 0   970.3697745  3.9723416e+05 
 0   970.3704556  3.9736019e+05 
 0   970.3711368  3.9742112e+05 
 0   970.3718178  3.9751881e+05 
 0   970.3724989  3.9738491e+05 
 0   970.3731801  3.9746656e+05 
 0   970.3738611  3.9743497e+05 
 0   970.3745422  3.9753506e+05 
 0   970.3752234  3.9751666e+05 
 0   970.3759045  3.9741494e+05 
 0   970.3765857  3.9727631e+05 
 0   970.3772667  3.9735456e+05 
 0   970.3779478  3.9744438e+05 
 0   970.3786289  3.9726516e+05 
 0   970.3793101  3.9734550e+05 
 0   970.3799912  3.9731350e+05 
 0   970.3806723  3.9749691e+05 
 0   970.3813535  3.9720322e+05 
 0   970.3820346  3.9727631e+05 
 0   970.3827158  3.9758656e+05 
 0   970.3833968  3.9753281e+05 
 0   970.3840779  3.9722616e+05 
 0   970.3847590  3.9743694e+05 
 0   970.3854401  3.9746025e+05 
 0   970.3861212  3.9723525e+05 
 0   970.3868024  3.9740319e+05 
 0   970.3874835  3.9745472e+05 
 0   970.3881646  3.9734794e+05 
 0   970.3888456  3.9736581e+05 
 0   970.3895268  3.9741025e+05 
 0   970.3902079  3.9742781e+05 
 0   970.3908890  3.9750112e+05 
 0   970.3915702  3.9743000e+05 
 0   970.3922513  3.9723556e+05 
 0   970.3929324  3.9735478e+05 
 0   970.3936136  3.9734500e+05 
 0   970.3942946  3.9739419e+05 
 0   970.3949757  3.9739869e+05 
 0   970.3956569  3.9746775e+05 
 0   970.3963379  3.9742741e+05 
 0   970.3970190  3.9736875e+05 
 0   970.3977001  3.9746181e+05 
 0   970.3983813  3.9734884e+05 
 0   970.3990624  3.9733316e+05 
 0   970.3997434  3.9739119e+05 
 0   970.4004246  3.9744078e+05 
 0   970.4011057  3.9728406e+05 
 0   970.4017868  3.9744894e+05 
 0   970.4024680  3.9747097e+05 
 0   970.4031491  3.9757128e+05 
 0   970.4038302  3.9725556e+05 
 0   970.4045114  3.9735878e+05 
 0   970.4051924  3.9742062e+05 
 0   970.4058735  3.9739850e+05 
 0   970.4065547  3.9753925e+05 
 0   970.4072358  3.9725647e+05 
 0   970.4079168  3.9729528e+05 
 0   970.4085980  3.9747178e+05 
 0   970.4092791  3.9735862e+05 
 0   970.4099603  3.9749722e+05 
 0   970.4106414  3.9744016e+05 
 0   970.4113224  3.9767106e+05 
 0   970.4120035  3.9741050e+05 
 0   970.4126847  3.9740309e+05 
 0   970.4133658  3.9745003e+05 
 0   970.4140469  3.9744809e+05 
 0   970.4147281  3.9731681e+05 
 0   970.4154092  3.9729753e+05 
 0   970.4160903  3.9725509e+05 
 0   970.4167714  3.9758766e+05 
 0   970.4174525  3.9743384e+05 
 0   970.4181336  3.9722494e+05 
 0   970.4188147  3.9738559e+05 
 0   970.4194958  3.9730384e+05 
 0   970.4201769  3.9731138e+05 
 0   970.4208581  3.9736691e+05 
 0   970.4215392  3.9734434e+05 
 0   970.4222202  3.9749766e+05 
 0   970.4229014  3.9738788e+05 
 0   970.4235825  3.9730172e+05 
 0   970.4242636  3.9724309e+05 
 0   970.4249447  3.9737762e+05 
 0   970.4256259  3.9744544e+05 
 0   970.4263070  3.9754025e+05 
 0   970.4269881  3.9721872e+05 
 0   970.4276692  3.9758019e+05 
 0   970.4283503  3.9767459e+05 
 0   970.4290314  3.9735281e+05 
 0   970.4297125  3.9735962e+05 
 0   970.4303936  3.9747212e+05 
 0   970.4310747  3.9737981e+05 
 0   970.4317558  3.9762084e+05 
 0   970.4324370  3.9723269e+05 
 0   970.4331181  3.9731425e+05 
 0   970.4337991  3.9730709e+05 
 0   970.4344803  3.9737056e+05 
 0   970.4351614  3.9742931e+05 
 0   970.4358425  3.9726022e+05 
 0   970.4365237  3.9724538e+05 
 0   970.4372048  3.9733316e+05 
 0   970.4378860  3.9737662e+05 
 0   970.4385671  3.9736778e+05 
 0   970.4392481  3.9744259e+05 
 0   970.4399292  3.9730372e+05 
 0   970.4406104  3.9738497e+05 
 0   970.4412915  3.9743250e+05 
 0   970.4419726  3.9749116e+05 
 0   970.4426537  3.9729944e+05 
 0   970.4433348  3.9747588e+05 
 0   970.4440160  3.9723775e+05 
 0   970.4446970  3.9740719e+05 
 0   970.4453781  3.9731903e+05 
 0   970.4460593  3.9739894e+05 
 0   970.4467404  3.9728428e+05 
 0   970.4474215  3.9733556e+05 
 0   970.4481026  3.9735038e+05 
 0   970.4487838  3.9729912e+05 
 0   970.4494649  3.9729653e+05 
 0   970.4501460  3.9740984e+05 
 0   970.4508271  3.9741297e+05 
 0   970.4515082  3.9720194e+05 
 0   970.4521893  3.9721234e+05 
 0   970.4528704  3.9729178e+05 
 0   970.4535515  3.9735512e+05 
 0   970.4542326  3.9754625e+05 
 0   970.4549137  3.9754584e+05 
 0   970.4555949  3.9740697e+05 
 0   970.4562759  3.9749944e+05 
 0   970.4569570  3.9727778e+05 
 0   970.4576382  3.9738906e+05 
 0   970.4583193  3.9742469e+05 
 0   970.4590004  3.9742025e+05 
 0   970.4596816  3.9741850e+05 
 0   970.4603627  3.9723947e+05 
 0   970.4610439  3.9740391e+05 
 0   970.4617249  3.9742203e+05 
 0   970.4624060  3.9733841e+05 
 0   970.4630871  3.9757428e+05 
 0   970.4637683  3.9732741e+05 
 0   970.4644493  3.9741825e+05 
 0   970.4651305  3.9742050e+05 
 0   970.4658116  3.9739559e+05 
 0   970.4664927  3.9735300e+05 
 0   970.4671737  3.9730138e+05 
 0   970.4678549  3.9732544e+05 
 0   970.4685360  3.9738588e+05 
 0   970.4692171  3.9738784e+05 
 0   970.4698983  3.9731841e+05 
 0   970.4705794  3.9745634e+05 
 0   970.4712606  3.9759475e+05 
 0   970.4719417  3.9734675e+05 
 0   970.4726227  3.9744288e+05 
 0   970.4733038  3.9730825e+05 
 0   970.4739850  3.9738703e+05 
 0   970.4746661  3.9730169e+05 
 0   970.4753471  3.9726656e+05 
 0   970.4760283  3.9737000e+05 
 0   970.4767094  3.9747531e+05 
 0   970.4773905  3.9745403e+05 
 0   970.4780717  3.9736797e+05 
 0   970.4787527  3.9740847e+05 
 0   970.4794338  3.9746588e+05 
 0   970.4801150  3.9739709e+05 
 0   970.4807961  3.9736828e+05 
 0   970.4814772  3.9718794e+05 
 0   970.4821583  3.9735594e+05 
 0   970.4828395  3.9731075e+05 
 0   970.4835206  3.9750497e+05 
 0   970.4842016  3.9725031e+05 
 0   970.4848828  3.9738884e+05 
 0   970.4855639  3.9735212e+05 
 0   970.4862450  3.9740619e+05 
 0   970.4869261  3.9715353e+05 
 0   970.4876072  3.9725778e+05 
 0   970.4882883  3.9718094e+05 
 0   970.4889695  3.9742047e+05 
 0   970.4896505  3.9737803e+05 
 0   970.4903316  3.9741184e+05 
 0   970.4910128  3.9742088e+05 
 0   970.4916939  3.9739169e+05 
